philippin,chines,2
lee,cni,2
lee,must keep,2
cni,school/ teach,2
jui p,U,2
jui p,lee hsien loong,2
U,lee hsien loong,2
lee hsien loong,blessings stay &,2
pm lee hsien loong,uncle hoon,2
Me,funan it mal,2
cj yong’,singapore saluted & rest,2
cj yong’,dearest,2
singapore saluted & rest,dearest,2
lee hsien loong wish,gong xi fa cai,2
myr,sun,2
hubei,hubei,2
singaporean,corona,2
singaporean,pm lee,2
singaporean,mrs lee,2
pm lee,mrs lee,2
push,singapor,2
singapor,japan,2
singapor,germani,2
singapor,wuhan,8
japan,germani,2
japan,wuhan,8
germani,wuhan,8
wuhan,wuhan,12
