china,singapor,10
china,china,2
china,wuhan,8
china,hubei,12
china,shenzhen,4
china,chines,4
china,ica,2
china,hong kong,2
china,prc,2
china,singaporean,2
china,reason,2
singapor,cj of singapor,2
singapor,yong,2
singapor,mr lee,4
singapor,singaporean,8
singapor,chines,6
singapor,ica,2
singapor,mrs lee,2
singapor,rip,2
singapor,singapor,4
singapor,prc,2
singapor,pm lee,2
singapor,switzerland,2
singapor,pm lee wish,4
cj of singapor,yong,2
mr lee,singaporean,2
mr lee,titan,2
prime,nhc,2
prime,sgh,2
prime,cni,2
nhc,sgh,2
nhc,cni,2
sgh,cni,2
cni,pm lee sir,2
singaporean,malaysian,2
singaporean,hardest way and pain,2
toto,RC,2
wuhan,wuhan,4
wuhan,SG,4
lee,whatapp,2
ban smok,sympathi,2
ban smok,suffer,2
ban smok,lung failure/,2
ban smok,time,2
ban smok,appreciated m,2
sympathi,suffer,2
sympathi,lung failure/,2
sympathi,time,2
sympathi,appreciated m,2
suffer,lung failure/,2
suffer,time,2
suffer,appreciated m,2
lung failure/,time,2
lung failure/,appreciated m,2
time,appreciated m,2
hubei,shenzhen,12
hubei,hubei,12
hubei,reason,6
shenzhen,shenzhen,2
sadden,kumar,2
chines,ica,2
lee hl,CJ,2
lee hl,cj yong',2
lee hl,istana,2
CJ,cj yong',2
malaysian,hardest way and pain,2
deepli,jui p,2
mrs lee,funan sg,2
mrs lee,yeah funan,2
ben beth,uncle hoon',2
SG,SG,2
IO,cctv,2
uncle hoon,god,2
cai,pm lee & family & singapor,2
problem,muslim,2
pm lee,switzerland,2
hdb,build,2
taxi,mrt,2
hs lee,blessed lunar,2
funan sg,yeah funan,2
